Order_ID,Order_Date,Customer_Name,Segment,Region,Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-1050,2023-08-15,Deepak Mishra,Consumer,South,Technology,Product-11,2010.67,5,0.2,-178.6
ORD-1051,2023-05-01,Deepak Mishra,Corporate,West,Furniture,Product-10,170.83,4,0.3,494.66
ORD-1052,2023-02-07,Amit Agarwal,Corporate,West,Technology,Product-25,1533.69,4,0.1,552.88
ORD-1053,2023-01-03,Mohit Goyal,Consumer,South,Furniture,Product-12,2431.92,9,0.3,-234.72
ORD-1054,2023-05-08,Vihaan Singh,Corporate,West,Office Supplies,Product-34,2964.89,10,0.2,935.05
ORD-1055,2023-08-15,Manish Tiwari,Home Office,South,Technology,Product-29,2701.9,8,0.3,36.95
ORD-1056,2023-05-07,Suresh Yadav,Corporate,South,Technology,Product-16,896.33,2,0.2,4.84
ORD-1057,2023-06-21,Neha Kapoor,Home Office,East,Furniture,Product-10,770.66,3,0.1,-216.5
ORD-1058,2023-07-28,Neha Kapoor,Home Office,South,Office Supplies,Product-4,699.82,7,0.3,876.29
ORD-1059,2023-10-27,Alok Srivastava,Consumer,South,Office Supplies,Product-1,2833.95,5,0.3,809.48
ORD-1060,2023-08-03,Sneha Kulkarni,Home Office,West,Office Supplies,Product-15,891.51,8,0.0,205.51
ORD-1061,2023-12-09,Deepak Mishra,Corporate,West,Office Supplies,Product-9,2944.09,9,0.0,879.01
ORD-1062,2023-10-31,Karan Malhotra,Home Office,East,Furniture,Product-28,493.53,8,0.1,-234.63
ORD-1063,2023-07-14,Neha Kapoor,Consumer,South,Office Supplies,Product-22,2307.57,7,0.2,677.61
ORD-1064,2023-08-04,Diya Malhotra,Consumer,South,Furniture,Product-35,251.05,6,0.1,545.19
ORD-1065,2023-11-30,Vivaan Patel,Consumer,West,Furniture,Product-2,1901.87,4,0.1,315.63
ORD-1066,2023-02-28,Karan Malhotra,Consumer,South,Technology,Product-17,2324.0,3,0.0,711.13
ORD-1067,2023-03-25,Kavya Nair,Consumer,East,Office Supplies,Product-37,2064.31,7,0.3,923.91
ORD-1068,2023-04-12,Aditya Verma,Home Office,West,Furniture,Product-20,2565.85,10,0.0,735.1
ORD-1069,2023-10-17,Vivaan Patel,Corporate,South,Technology,Product-24,299.97,6,0.0,804.45
ORD-1070,2023-09-08,Vihaan Singh,Corporate,Central,Technology,Product-30,2151.2,7,0.1,653.93
ORD-1071,2023-11-30,Diya Malhotra,Home Office,South,Office Supplies,Product-28,2494.63,10,0.2,119.0
ORD-1072,2023-05-06,Aditya Verma,Corporate,South,Furniture,Product-30,1752.56,7,0.2,-262.69
ORD-1073,2023-06-16,Sai Reddy,Corporate,West,Office Supplies,Product-17,1086.98,10,0.2,422.53
ORD-1074,2023-09-22,Rohan Gupta,Consumer,West,Technology,Product-27,1516.88,4,0.3,539.67
ORD-1075,2023-09-09,Amit Agarwal,Consumer,East,Office Supplies,Product-15,1272.76,4,0.2,563.15
ORD-1076,2023-07-08,Nikhil Bansal,Home Office,Central,Office Supplies,Product-36,1059.29,8,0.2,98.61
ORD-1077,2023-04-29,Vihaan Singh,Home Office,West,Office Supplies,Product-8,2254.36,3,0.1,-18.7
ORD-1078,2023-09-05,Diya Malhotra,Home Office,Central,Furniture,Product-13,959.11,6,0.1,92.95
ORD-1079,2023-12-29,Sneha Kulkarni,Consumer,Central,Furniture,Product-4,1704.74,3,0.3,-166.64
ORD-1080,2023-01-07,Karan Malhotra,Corporate,South,Office Supplies,Product-29,1088.05,1,0.2,923.38
ORD-1081,2023-09-02,Vihaan Singh,Consumer,South,Office Supplies,Product-5,1773.36,1,0.1,-106.04
ORD-1082,2023-10-16,Kavya Nair,Consumer,West,Furniture,Product-36,2316.89,10,0.1,708.4
ORD-1083,2023-07-14,Amit Agarwal,Corporate,Central,Technology,Product-28,985.6,10,0.0,492.52
ORD-1084,2023-02-20,Mohit Goyal,Consumer,West,Office Supplies,Product-6,555.47,3,0.0,-96.51
ORD-1085,2023-07-29,Amit Agarwal,Home Office,South,Office Supplies,Product-3,771.28,5,0.3,-207.47
ORD-1086,2023-04-30,Diya Malhotra,Home Office,West,Office Supplies,Product-8,1679.23,3,0.2,774.62
ORD-1087,2023-02-06,Vivaan Patel,Consumer,Central,Technology,Product-37,2771.46,8,0.0,309.31
ORD-1088,2023-06-05,Alok Srivastava,Corporate,Central,Technology,Product-35,1532.01,2,0.0,856.25
ORD-1089,2023-06-15,Manish Tiwari,Corporate,East,Furniture,Product-15,2889.54,10,0.0,999.44
ORD-1090,2023-12-11,Diya Malhotra,Home Office,East,Furniture,Product-31,1605.0,8,0.2,-64.06
ORD-1091,2023-10-27,Siddharth Jain,Home Office,South,Furniture,Product-31,1109.09,6,0.2,571.17
ORD-1092,2023-03-24,Neha Kapoor,Corporate,South,Office Supplies,Product-26,2459.34,9,0.0,291.27
ORD-1093,2023-06-11,Diya Malhotra,Corporate,East,Office Supplies,Product-33,2492.29,1,0.3,237.22
ORD-1094,2023-04-07,Priya Saxena,Corporate,South,Technology,Product-29,2303.97,4,0.2,413.99
ORD-1095,2023-05-28,Amit Agarwal,Home Office,South,Furniture,Product-2,2922.13,10,0.1,622.72
ORD-1096,2023-06-09,Sneha Kulkarni,Consumer,South,Furniture,Product-15,2977.55,2,0.3,931.18
ORD-1097,2023-11-28,Arjun Mehta,Corporate,Central,Technology,Product-18,1304.92,8,0.3,16.85
ORD-1098,2023-10-10,Arjun Mehta,Corporate,West,Technology,Product-33,2264.25,3,0.0,59.12
ORD-1099,2023-08-01,Neha Kapoor,Home Office,Central,Furniture,Product-19,2205.55,10,0.3,824.84
ORD-1100,2023-08-17,Sneha Kulkarni,Corporate,Central,Office Supplies,Product-36,2312.33,7,0.3,912.71
